rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
3,Tarik Fullerton,16,Cornwall College,1500 Meter Run,Track,NA,4:18.20,4:16.39,NA,NA
4,Kamoy Blake,16,Greater Portmore,1500 Meter Run,Track,NA,4:27.80,4:21.77,NA,NA
5,Dwayne Pinnock,16,Wolmers' Boys,1500 Meter Run,Track,NA,4:27.16,4:21.80,NA,NA
6,Travis Mitchelle,16,Old Harbour High,1500 Meter Run,Track,NA,4:31.81,4:23.46,NA,NA
1,Rajay Hamilton,16,Lennon High,1500 Meter Run,Track,NA,4:33.40,4:16.85,NA,NA
2,Herbert Thomas,16,Munro College,1500 Meter Run,Track,NA,4:12.76,4:17.08,NA,NA
3,Romaine Headman,15,Jamaica College,1500 Meter Run,Track,NA,4:20.00,4:17.29,NA,NA
4,Dominic Powell,16,Kingston College,1500 Meter Run,Track,NA,4:19.98,4:18.24,NA,NA
5,Delano Rochester,15,Clarendon College,1500 Meter Run,Track,NA,4:30.17,4:19.90,NA,NA
6,Carlington Reid,16,Calabar High,1500 Meter Run,Track,NA,4:25.60,4:21.60,NA,NA
7,Henry Thomas,16,Tacius Golding,1500 Meter Run,Track,NA,4:35.30,4:22.87,NA,NA
8,Javaun Newman,16,Spanish Town High,1500 Meter Run,Track,NA,4:25.80,4:27.03,NA,NA
9,Jaqwan Thomas,16,Yallahs High,1500 Meter Run,Track,NA,4:33.11,4:29.39,NA,NA
10,Kendre McCOOK,16,St. Jago High,1500 Meter Run,Track,NA,4:27.95,4:32.95,NA,NA
11,Krayous Oliver,16,Edwin Allen High,1500 Meter Run,Track,NA,4:28.96,4:43.35,NA,NA
12,Winston Freeman,16,Bellefield,1500 Meter Run,Track,NA,4:35.00,4:46.90,NA,NA
--,Anthony Small,16,St. Mary Technical,1500 Meter Run,Track,NA,4:31.01,DNF,NA,NA
1,Robert Thomas,16,St. Jago High,1500 Meter Run,Track,NA,4:20.80,4:21.90,NA,NA
2,Akeem Francis,15,Edwin Allen High,1500 Meter Run,Track,NA,4:24.10,4:22.08,NA,NA
3,Jorel Belfante,16,Calabar High,1500 Meter Run,Track,NA,4:19.60,4:22.13,NA,NA
4,Anthony Tomlinson,16,Maud McLEOD,1500 Meter Run,Track,NA,4:31.90,4:22.94,NA,NA
5,Tevin Burton,16,Holmwood Technical,1500 Meter Run,Track,NA,4:33.60,4:23.58,NA,NA
6,Najaye Stewart,16,Manchester High,1500 Meter Run,Track,NA,4:25.82,4:25.63,NA,NA
7,Romario Foote,16,May Day High,1500 Meter Run,Track,NA,4:29.00,4:26.69,NA,NA
7,Jevar Carter,15,Ferncourt High,1500 Meter Run,Track,NA,4:31.86,4:24.01,NA,NA
8,Kemanie Mitchell,15,Guy's Hill High,1500 Meter Run,Track,NA,4:34.28,4:35.15,NA,NA
9,Andre Palmer,16,Clan Carthy High,1500 Meter Run,Track,NA,4:23.55,4:59.88,NA,NA
--,Wesley Gaynor,16,Vere Technical,1500 Meter Run,Track,NA,4:17.00,DNF,NA,NA
--,Rohan Corcho,16,Foga Road High,1500 Meter Run,Track,NA,4:29.13,DNS,NA,NA
--,Davian Baker,15,Edith Dalton James,1500 Meter Run,Track,NA,4:34.50,DNS,NA,NA
1,Janieve Russel,17,Holmwood Technical,Long Jump,Field,NA,6.07m,5.97m,NA,NA
2,Opal James,16,St. Elizabeth TE,Long Jump,Field,NA,5.54m,5.64m,NA,NA
3,Xian-George Reid,17,Vere Technical,Long Jump,Field,NA,5.15m,5.60m,NA,NA
4,Tameca Wallace,17,Bellefield,Long Jump,Field,NA,4.95m,5.59m,NA,NA
5,Trisharna Smith,16,Edwin Allen High,Long Jump,Field,NA,5.00m,5.47m,NA,NA
6,Runique Gray,16,St. Jago High,Long Jump,Field,NA,5.53m,5.45m,NA,NA
7,Lexanna Morgan,17,Convent OF Mercy,Long Jump,Field,NA,5.47m,5.44m,NA,NA
8,Trudy McCalla,17,Oberlin High,Long Jump,Field,NA,5.40m,5.32m,NA,NA
9,Michellae Walker,16,St. Andrew High,Long Jump,Field,NA,5.03m,5.18m,NA,NA
10,Rusheda Blake,16,Herbert Morrison,Long Jump,Field,NA,5.01m,5.07m,NA,NA
11,Anna-Kay West,16,Manchester High,Long Jump,Field,NA,5.21m,5.01m,NA,NA
12,Khadija Campbell,17,Immaculate Conce,Long Jump,Field,NA,5.18m,5.00m,NA,NA
13,Jheanell Scarlett,17,Ardenne High,Long Jump,Field,NA,4.69m,4.88m,NA,NA
13,Santana Dell,17,Excelsior High,Long Jump,Field,NA,5.01m,4.88m,NA,NA
--,Santana Haynes,16,William Knibb High,Long Jump,Field,NA,4.91m,DNS,NA,NA
--,Shinelle Thompson,16,Bridgeport,Long Jump,Field,NA,4.53m,DNS,NA,NA
--,Judene Thomas,17,Wolmers Girls,Long Jump,Field,NA,4.98m,DNS,NA,NA
1,Chanice Porter,17,Manchester High,Long Jump,Field,NA,5.93m,6.26m,NA,NA
2,Claudette Allen,16,Edwin Allen High,Long Jump,Field,NA,5.60m,5.92m,NA,NA
3,Rusheen Reid,17,The Queen's School,Long Jump,Field,NA,5.45m,5.65m,NA,NA
3,Tatiana Wolfe,16,Convent OF Mercy,Long Jump,Field,NA,5.52m,5.65m,NA,NA
5,Shaulene Prince,17,St. Jago High,Long Jump,Field,NA,5.19m,5.63m,NA,NA
6,Shanice McPherson,16,Holmwood Technical,Long Jump,Field,NA,5.42m,5.56m,NA,NA
7,Nickeisha Gordon,17,Bellefield,Long Jump,Field,NA,4.97m,5.51m,NA,NA
8,Chantal Pennie,17,Vere Technical,Long Jump,Field,NA,5.02m,5.29m,NA,NA
9,Rashell Reid,17,Mannings High,Long Jump,Field,NA,5.33m,5.25m,NA,NA
9,Dhanyel Johnson,17,St. Andrew High,Long Jump,Field,NA,4.95m,5.25m,NA,NA
11,Shamoya McNeil,16,Titchfield High,Long Jump,Field,NA,5.02m,5.19m,NA,NA
12,Tasanique Henry,17,Hampton School,Long Jump,Field,NA,5.00m,5.02m,NA,NA
13,Natasha Patterson,16,Wolmers Girls,Long Jump,Field,NA,4.78m,4.92m,NA,NA
14,Yeneque Wood House,17,Old Harbour High,Long Jump,Field,NA,5.00m,4.79m,NA,NA
--,Tasheka Brown,17,Spalding High,Long Jump,Field,NA,4.96m,DNS,NA,NA
--,Kadisha Jonas,17,Oberlin High,Long Jump,Field,NA,5.19m,DNS,NA,NA
1,Onessa Patten,15,Edwin Allen High,High Jump,Field,NA,1.50m,1.70m,null,9
2,Safia Morgan,15,Immaculate Conce,High Jump,Field,NA,null,1.50m,null,null
3,Annastacia Forrester,14,Manchester High,High Jump,Field,NA,null,1.50m,null,null
4,Danique Bryan,15,Edwin Allen High,High Jump,Field,NA,1.50m,1.65m,null,5
5,Jehvannia Vidal-Whyte,15,Vere Technical,High Jump,Field,NA,null,1.50m,null,null
5,Samara Spencer,14,Hydel High,High Jump,Field,NA,null,1.50m,null,null
7,Latavia Coombs,15,Holmwood Technical,High Jump,Field,NA,1.50m,1.60m,1.5,0
7,Rolaine Wright,15,Vere Technical,High Jump,Field,NA,1.50m,1.60m,1.5,0
9,Moseha Reid,14,St. Elizabeth TE,High Jump,Field,NA,null,1.50m,null,null
10,Dowieke Daniel,14,Campion College,High Jump,Field,NA,null,1.50m,null,null
11,Tamara Moncrieffe,15,Holmwood Technical,High Jump,Field,NA,null,1.50m,null,null
12,Jody-Kay Peterkin,15,Wolmers Girls,High Jump,Field,NA,null,1.50m,null,null
13,Apryl Thompson,15,Manchester High,High Jump,Field,NA,1.50m,1.55m,null,null
13,Britny Kerr,14,Hydel High,High Jump,Field,NA,1.50m,1.55m,null,null
15,Sashane Hanson,15,Herbert Morrison,High Jump,Field,NA,null,1.50m,null,null
16,Sashaneir Bent,15,Convent OF Mercy,High Jump,Field,NA,null,1.50m,null,null
17,Shadai Murray,14,Buff Bay High,High Jump,Field,NA,null,1.50m,null,null
18,Antonia Mason,14,St. Andrew High,High Jump,Field,NA,1.50m,1.50m,null,null
18,Rushaun Spencer,15,Wolmers Girls,High Jump,Field,NA,1.50m,1.50m,null,null
20,Afiya Dacres,14,St. Andrew High,High Jump,Field,NA,null,1.50m,null,null
1,Jordan James,13,Wolmers' Boys,400 Meter Dash,Track,NA,50.68,52.73,NA,NA
2,Caliph Mais,14,Camperdown High,400 Meter Dash,Track,NA,55.46,53.06,NA,NA
3,Javaughn Fowler,14,Calabar High,400 Meter Dash,Track,NA,53.87,54.16,NA,NA
4,Kurt Goodlitt,14,Munro College,400 Meter Dash,Track,NA,57.43,55.72,NA,NA
5,Raphael Walker,13,Seaforth High,400 Meter Dash,Track,NA,55.50,56.74,NA,NA
6,Travis Reid,14,Old Harbour High,400 Meter Dash,Track,NA,53.70,58.58,NA,NA
7,Hackeem Gardener,14,Central High,400 Meter Dash,Track,NA,57.84,1:00.67,NA,NA
1,Dirk Williamson,14,Jamaica College,400 Meter Dash,Track,NA,52.27,53.35,NA,NA
2,Kieron Parsons,14,Ferncourt High,400 Meter Dash,Track,NA,55.42,53.81,NA,NA
3,Hakeem Wood,14,Herbert Morrison,400 Meter Dash,Track,NA,53.91,54.02,NA,NA
4,Mario Morgan,14,Charlemont High,400 Meter Dash,Track,NA,55.84,54.25,NA,NA
5,Odaine Lewis,14,Cornwall College,400 Meter Dash,Track,NA,57.22,55.74,NA,NA
6,Johnoy Brown,14,Fair Prospect High,400 Meter Dash,Track,NA,53.65,1:05.75,NA,NA
7,Neville Morgan,14,Godfrey Stewart,400 Meter Dash,Track,NA,57.93,1:08.01,NA,NA
1,Devaughn Baker,14,Jamaica College,400 Meter Dash,Track,NA,52.40,53.19,NA,NA
2,Roderick Moodie,14,Kingston College,400 Meter Dash,Track,NA,53.56,53.63,NA,NA
3,Fabian Hewitt,14,Bog Walk,400 Meter Dash,Track,NA,56.77,53.77,NA,NA
4,Keneja Cunningham,14,Mannings High,400 Meter Dash,Track,NA,58.44,54.09,NA,NA
5,Johnordo Thomas,14,William Knibb High,400 Meter Dash,Track,NA,55.98,54.29,NA,NA
6,Nicholas Ellis-Davis,14,Christiana,400 Meter Dash,Track,NA,55.24,54.58,NA,NA
--,Ryan Powell,14,Herbert Morrison,400 Meter Dash,Track,NA,54.09,DNF,NA,NA
1,Andre Rodney,14,Muschett High,400 Meter Dash,Track,NA,53.45,53.12,NA,NA
2,Shamar Brooks,14,Christiana,400 Meter Dash,Track,NA,54.43,53.56,NA,NA
3,Junior Brown,14,Hydel High,400 Meter Dash,Track,NA,55.37,54.49,NA,NA
4,Dajour Wilson,13,Wolmers' Boys,400 Meter Dash,Track,NA,52.42,55.16,NA,NA
5,Shemar Hylton,14,Excelsior High,400 Meter Dash,Track,NA,56.75,55.81,NA,NA
6,Jordan Jarrett,14,Manchester High,400 Meter Dash,Track,NA,55.98,56.48,NA,NA
7,Kenrick Jarrett,13,Vauxhall High,400 Meter Dash,Track,NA,58.47,58.99,NA,NA
1,Malcolm Campbell,14,Calabar High,400 Meter Dash,Track,NA,52.45,52.42,NA,NA
2,Jonathan Smith,14,Kingston College,400 Meter Dash,Track,NA,53.22,54.57,NA,NA
3,Damane Dixon,13,Dinthill,400 Meter Dash,Track,NA,56.03,54.80,NA,NA
4,Renaldo King,14,Hydel High,400 Meter Dash,Track,NA,54.51,54.80,NA,NA
5,Kerron Hylton,14,St. Jago High,400 Meter Dash,Track,NA,54.51,55.27,NA,NA
6,Terroan Timothy Edwards,14,Spalding High,400 Meter Dash,Track,NA,56.20,56.18,NA,NA
7,Paul Tate,14,Lacovia High,400 Meter Dash,Track,NA,58.58,57.73,NA,NA
1,Jaron Brown,14,St. Jago High,400 Meter Dash,Track,NA,52.90,53.35,NA,NA
2,Nicoli Edwards,14,Bridgeport,400 Meter Dash,Track,NA,52.52,54.02,NA,NA
3,Uylett Gray,14,Jonathan Grant High,400 Meter Dash,Track,NA,55.03,54.25,NA,NA
4,Telphia Hines,14,Donald Quarrie,400 Meter Dash,Track,NA,54.80,54.74,NA,NA
5,Danta Roberts,14,Edwin Allen High,400 Meter Dash,Track,NA,56.14,55.70,NA,NA
6,Kemo Powell,14,Haile Selassie High,400 Meter Dash,Track,NA,58.72,1:01.47,NA,NA
7,Ouguro Clarke,14,Edith Dalton James,400 Meter Dash,Track,NA,56.18,1:02.10,NA,NA
1,Christopher Brown,16,Calabar High,Shot Put,Field,NA,16.94m,13.22m,NA,NA
2,Jordan Forbes,16,Kingston College,Shot Put,Field,NA,13.37m,13.04m,NA,NA
3,Chad Harris,16,St. Jago High,Shot Put,Field,NA,12.87m,12.96m,NA,NA
4,Demar Gayle,15,Edwin Allen High,Shot Put,Field,NA,13.04m,12.88m,NA,NA
5,Glenford Watson,16,Petersfield High,Shot Put,Field,NA,13.15m,12.82m,NA,NA
6,Sanjay Reid,16,Foga Road High,Shot Put,Field,NA,12.34m,12.68m,NA,NA
7,Alec-Verne Longmore,16,Jamaica College,Shot Put,Field,NA,12.57m,12.54m,NA,NA
8,Mikhail Powell,15,Munro College,Shot Put,Field,NA,12.24m,12.41m,NA,NA
9,Emmanuel Mayanja,16,Ardenne High,Shot Put,Field,NA,13.77m,12.12m,NA,NA
10,Joseph Braidy,16,Wolmers' Boys,Shot Put,Field,NA,11.61m,11.67m,NA,NA
11,Shamar Chambers,16,Papine High School,Shot Put,Field,NA,10.76m,11.56m,NA,NA
12,Rohan Blair,16,Lacovia High,Shot Put,Field,NA,10.92m,11.17m,NA,NA
--,Kenroy Gobourne,15,Titchfield High,Shot Put,Field,NA,11.60m,ND,NA,NA
1,Orega Welch,16,Lennon High,Shot Put,Field,NA,14.22m,13.62m,NA,NA
2,Zaavan Richards,16,Kingston College,Shot Put,Field,NA,12.28m,13.08m,NA,NA
3,Derrick Pitt,16,St. Jago High,Shot Put,Field,NA,14.33m,12.66m,NA,NA
4,Dwayne Sicheran,16,Mannings High,Shot Put,Field,NA,13.34m,12.39m,NA,NA
5,Romario Willis,15,Buff Bay High,Shot Put,Field,NA,12.34m,12.28m,NA,NA
6,Stevon Crooks,15,Petersfield High,Shot Put,Field,NA,13.13m,12.16m,NA,NA
7,Javaunie Francis,15,Balaclava High,Shot Put,Field,NA,12.67m,12.14m,NA,NA
8,Alexander Parkinson,15,Jamaica College,Shot Put,Field,NA,13.26m,12.10m,NA,NA
9,Orain Clair,16,Foga Road High,Shot Put,Field,NA,11.93m,12.08m,NA,NA
10,Ricardo Smith,16,Herbert Morrison,Shot Put,Field,NA,12.54m,11.64m,NA,NA
10,Keeno Burrell,16,Claude McKAY High,Shot Put,Field,NA,10.75m,11.64m,NA,NA
12,Leighton Walker,16,Cornwall College,Shot Put,Field,NA,10.99m,11.21m,NA,NA
13,Rasheed Allen,16,Ocho Rios High,Shot Put,Field,NA,11.18m,10.08m,NA,NA
14,Kevon Walker,16,St. Andrew College,Shot Put,Field,NA,null,9.95m,NA,NA
1,Yanique McNeil,15,Vere Technical,400 Meter Dash,Track,NA,56.14,56.61,NA,NA
2,Yeashchea Williams,14,Dinthill,400 Meter Dash,Track,NA,59.00,58.65,NA,NA
3,Tashalee Benaine,14,Irwin High,400 Meter Dash,Track,NA,1:01.14,59.13,NA,NA
4,Shanice Reid,14,St. Jago High,400 Meter Dash,Track,NA,59.00,59.92,NA,NA
5,Andrea Malcolm,14,Winston Jones High,400 Meter Dash,Track,NA,1:04.94,1:03.45,NA,NA
6,Chennel Lawrence,14,Holy Childhood,400 Meter Dash,Track,NA,1:04.62,1:03.86,NA,NA
7,Drusel Lewis,15,Tacius Golding,400 Meter Dash,Track,NA,1:01.34,1:11.02,NA,NA
1,Genekee Leith,15,St. Jago High,400 Meter Dash,Track,NA,56.44,57.91,NA,NA
2,Tashoy Blake,14,Edwin Allen High,400 Meter Dash,Track,NA,59.14,58.82,NA,NA
3,Shauna Wright,15,Wolmers Girls,400 Meter Dash,Track,NA,58.94,59.31,NA,NA
4,Shanoya Glanville,15,Christiana,400 Meter Dash,Track,NA,1:01.54,1:00.14,NA,NA
5,Aquila Brown,15,Albert Town High,400 Meter Dash,Track,NA,1:01.00,1:00.62,NA,NA
6,Jody-Ann Golding,15,Bellefield,400 Meter Dash,Track,NA,1:04.24,1:03.87,NA,NA
7,Jamelia Lovelace,15,Dinthill,400 Meter Dash,Track,NA,1:04.90,1:05.56,NA,NA
1,Semoy Hemmings,14,Hydel High,400 Meter Dash,Track,NA,56.53,57.22,NA,NA
2,Shanna Kay Manning,15,Holmwood Technical,400 Meter Dash,Track,NA,58.70,57.94,NA,NA
3,Christena Gayle,14,Manchester High,400 Meter Dash,Track,NA,59.27,59.32,NA,NA
4,Tasha Daley,14,Lewisville High,400 Meter Dash,Track,NA,1:04.18,59.40,NA,NA
5,Temera Duncan,14,St. Andrew High,400 Meter Dash,Track,NA,1:01.00,1:01.24,NA,NA
6,Nickeisha Grant,14,Guy's Hill High,400 Meter Dash,Track,NA,1:01.90,1:04.32,NA,NA
--,Jolie Girard,15,Cross Keys High,400 Meter Dash,Track,NA,1:05.24,DNS,NA,NA
1,Antonika Drummond,15,Holmwood Technical,400 Meter Dash,Track,NA,57.30,56.98,NA,NA
2,Kimberly Leach,14,Wolmers Girls,400 Meter Dash,Track,NA,59.37,58.92,NA,NA
3,Renae Dennie,15,Camperdown High,400 Meter Dash,Track,NA,1:02.09,59.56,NA,NA
4,Sharrika Barnett,14,St. Andrew High,400 Meter Dash,Track,NA,58.82,59.90,NA,NA
5,Jhanique Clarke,14,The Queen's School,400 Meter Dash,Track,NA,1:00.90,1:05.41,NA,NA
6,Tameka Brooks,15,Bellefield,400 Meter Dash,Track,NA,1:04.14,1:07.39,NA,NA
--,Shinelle McPherson,15,Clan Carthy High,400 Meter Dash,Track,NA,1:05.27,DNS,NA,NA
1,Shauna-Gay Pusey,15,Glenmuir High,400 Meter Dash,Track,NA,58.14,57.78,NA,NA
2,Dawna-Lee Loney,15,Balaclava High,400 Meter Dash,Track,NA,58.54,58.23,NA,NA
3,Tashay Hunter,15,Donald Quarrie,400 Meter Dash,Track,NA,59.61,58.51,NA,NA
4,Crystal Haughton,15,Irwin High,400 Meter Dash,Track,NA,1:00.52,59.81,NA,NA
6,Erica Blake,14,St. Catherine High,400 Meter Dash,Track,NA,1:02.54,1:00.95,NA,NA
7,Subrena James,14,Vauxhall High,400 Meter Dash,Track,NA,1:05.38,1:05.27,NA,NA
1,Andrenette Knight,14,Vere Technical,400 Meter Dash,Track,NA,58.14,57.85,NA,NA
2,Cristal Black,15,Herbert Morrison,400 Meter Dash,Track,NA,58.52,59.29,NA,NA
3,Janice Darling,15,Manchester High,400 Meter Dash,Track,NA,59.95,59.43,NA,NA
4,Natalie Smith,15,Bridgeport,400 Meter Dash,Track,NA,1:03.25,1:02.92,NA,NA
5,Shemoy Reid,15,Yallahs High,400 Meter Dash,Track,NA,1:02.73,1:03.40,NA,NA
6,Abbygail Blackwood,15,DeCARTERET College,400 Meter Dash,Track,NA,1:05.73,1:04.02,NA,NA
--,Chinnelle Morrison,14,Excelsior High,400 Meter Dash,Track,NA,null,1:00.47,NA,NA
1,Tiffany James,14,Papine High School,400 Meter Dash,Track,NA,1:00.34,57.32,NA,NA
2,Davia Smith,14,Edwin Allen High,400 Meter Dash,Track,NA,58.44,58.12,NA,NA
3,Ashley Baker,14,Excelsior High,400 Meter Dash,Track,NA,58.30,58.84,NA,NA
4,Patricia Williams,15,St. Elizabeth TE,400 Meter Dash,Track,NA,1:00.06,1:00.26,NA,NA
5,Cornel Allen,15,Godfrey Stewart,400 Meter Dash,Track,NA,1:02.90,1:00.64,NA,NA
6,Antonette Baxter,14,St. Hugh's High,400 Meter Dash,Track,NA,1:03.05,1:05.69,NA,NA
7,Pihana Neville,15,Fair Prospect High,400 Meter Dash,Track,NA,1:06.05,1:06.12,NA,NA
8,Danielle McCalla,14,Immaculate Conce,400 Meter Dash,Track,NA,1:06.01,1:07.37,NA,NA
1,Kadeesh Willis,16,St. Jago High,400 Meter Dash,Track,NA,47.78,50.73,NA,NA
2,Rohan Morrison,16,Muschett High,400 Meter Dash,Track,NA,50.85,51.28,NA,NA
3,Cruise Billings,15,Godfrey Stewart,400 Meter Dash,Track,NA,51.64,51.69,NA,NA
4,Anthonio Davis,16,Mona High School,400 Meter Dash,Track,NA,52.61,51.87,NA,NA
5,Robert Geary,16,Clan Carthy High,400 Meter Dash,Track,NA,54.10,52.96,NA,NA
6,Kemoy Vascianna,16,St. James High,400 Meter Dash,Track,NA,52.58,53.69,NA,NA
7,Trevardo Meeks,15,Kellits High,400 Meter Dash,Track,NA,54.10,53.97,NA,NA
1,Lennox Williams,16,Manchester High,400 Meter Dash,Track,NA,48.94,49.69,NA,NA
2,Ivan Henry,15,St. Jago High,400 Meter Dash,Track,NA,50.82,49.92,NA,NA
3,Brandon McINTOSH,15,ST Thomas Technical,400 Meter Dash,Track,NA,51.67,50.15,NA,NA
4,Odane Bernard,15,Donald Quarrie,400 Meter Dash,Track,NA,52.62,52.65,NA,NA
5,Rasheed Cunningham,16,Green Island High,400 Meter Dash,Track,NA,52.38,52.84,NA,NA
6,Jermaine Williams,16,Bog Walk,400 Meter Dash,Track,NA,54.11,53.23,NA,NA
--,Andre Stoddart,16,Irwin High,400 Meter Dash,Track,NA,null,53.71,NA,NA
1,Javon Francis,16,Calabar High,400 Meter Dash,Track,NA,51.69,49.42,NA,NA
2,Kaneil Harrison,16,Munro College,400 Meter Dash,Track,NA,49.98,49.99,NA,NA
3,Michael King,16,Bridgeport,400 Meter Dash,Track,NA,52.87,50.22,NA,NA
4,Robin Black,15,St. Elizabeth TE,400 Meter Dash,Track,NA,50.81,50.35,NA,NA
5,Damonic Alvaranga,16,Camperdown High,400 Meter Dash,Track,NA,53.70,51.09,NA,NA
6,Youorn Henry,16,Manchester High,400 Meter Dash,Track,NA,52.36,52.95,NA,NA
7,Ricordo McKENZIE,15,Cornwall College,400 Meter Dash,Track,NA,54.22,53.14,NA,NA
1,Mario Williams,15,Kingston College,400 Meter Dash,Track,NA,50.18,51.25,NA,NA
2,Willis Picton,15,Camperdown High,400 Meter Dash,Track,NA,52.35,51.57,NA,NA
3,Shawn Salmon,15,William Knibb High,400 Meter Dash,Track,NA,50.81,51.77,NA,NA
4,Dajon Richards,16,Glenmuir High,400 Meter Dash,Track,NA,51.70,52.22,NA,NA
5,Janoy Dean,16,Spanish Town High,400 Meter Dash,Track,NA,54.75,54.28,NA,NA
6,Kimarley Graham,16,Edith Dalton James,400 Meter Dash,Track,NA,52.98,54.78,NA,NA
7,Travis Sutherland,15,Titchfield High,400 Meter Dash,Track,NA,53.69,55.54,NA,NA
1,Lee-Andrew Bloomfield,16,Wolmers' Boys,400 Meter Dash,Track,NA,50.79,51.22,NA,NA
2,Tevin Wilson,15,Munro College,400 Meter Dash,Track,NA,50.28,51.31,NA,NA
3,Hakeem Francis,16,Hydel High,400 Meter Dash,Track,NA,51.76,51.33,NA,NA
4,Maurice Harrison,16,Excelsior High,400 Meter Dash,Track,NA,53.41,52.65,NA,NA
5,Jerrylee Cole,16,Claude McKAY High,400 Meter Dash,Track,NA,55.04,53.93,NA,NA
6,Chevaun Blake,16,Tivoli Gardens High,400 Meter Dash,Track,NA,55.74,56.60,NA,NA
7,Travis Alder,15,Petersfield High,400 Meter Dash,Track,NA,52.27,59.67,NA,NA
--,Shamone McFARLANE,16,Irwin High,400 Meter Dash,Track,NA,53.11,DNS,NA,NA
1,Okeen Williams,15,St. Elizabeth TE,400 Meter Dash,Track,NA,50.40,49.64,NA,NA
2,Javon Ashley,16,Wolmers' Boys,400 Meter Dash,Track,NA,50.76,50.06,NA,NA
3,Chadayne Walker,15,Kingston College,400 Meter Dash,Track,NA,51.81,50.28,NA,NA
4,Zavier Lawrence,15,Knox College,400 Meter Dash,Track,NA,52.21,51.74,NA,NA
5,Romario Dixon,16,Greater Portmore,400 Meter Dash,Track,NA,53.12,52.25,NA,NA
6,Oneeph Barrett,16,Glenmuir High,400 Meter Dash,Track,NA,53.40,52.93,NA,NA
7,Romario Christie,15,Ocho Rios High,400 Meter Dash,Track,NA,55.67,53.82,NA,NA
8,Tevin Daley,16,Mannings High,400 Meter Dash,Track,NA,55.04,55.15,NA,NA
1,Tevin Murphy,16,Jamaica College,400 Meter Dash,Track,NA,52.21,51.05,NA,NA
2,Alwayne Pitter,16,Edwin Allen High,400 Meter Dash,Track,NA,50.73,51.10,NA,NA
3,Jyuset Hall,16,Calabar High,400 Meter Dash,Track,NA,50.52,51.16,NA,NA
4,Ejay Hylton,16,Ardenne High,400 Meter Dash,Track,NA,51.82,52.63,NA,NA
5,Dinardo Rhooms,16,Bog Walk,400 Meter Dash,Track,NA,53.13,53.23,NA,NA
6,Travis Stewart,16,Papine High School,400 Meter Dash,Track,NA,55.49,53.33,NA,NA
7,Dwayne Williams,16,Glengoffe High,400 Meter Dash,Track,NA,53.29,54.01,NA,NA
8,Tahje Jones,15,St. Catherine High,400 Meter Dash,Track,NA,55.24,55.14,NA,NA
1,Jonah Morgan,16,Excelsior High,400 Meter Dash,Track,NA,50.64,51.06,NA,NA
2,Jabari Linton,16,Jamaica College,400 Meter Dash,Track,NA,50.63,51.10,NA,NA
3,Shavaun Brown,16,Fair Prospect High,400 Meter Dash,Track,NA,51.90,52.96,NA,NA
4,Jenard Harvey,15,Greater Portmore,400 Meter Dash,Track,NA,53.22,53.24,NA,NA
5,Oshane Griffiths,15,Seaforth High,400 Meter Dash,Track,NA,53.13,53.26,NA,NA
6,Lamar Brown,16,Godfrey Stewart,400 Meter Dash,Track,NA,51.84,53.93,NA,NA
7,Jerome Peart,16,Balaclava High,400 Meter Dash,Track,NA,55.45,54.45,NA,NA
8,Jeremiah Messam,15,Lennon High,400 Meter Dash,Track,NA,55.40,56.24,NA,NA
1,Chrisann Gordon,16,Holmwood Technical,400 Meter Dash,Track,NA,53.62,53.35,NA,NA
2,Asaine Hall,16,Petersfield High,400 Meter Dash,Track,NA,57.94,56.31,NA,NA
3,Teriann Wiiliams,17,Edwin Allen High,400 Meter Dash,Track,NA,57.47,57.40,NA,NA
4,Racquel Ricketts,17,Manchester High,400 Meter Dash,Track,NA,59.76,59.56,NA,NA
5,Isha Nation,17,Mile Gully High,400 Meter Dash,Track,NA,1:02.14,1:00.08,NA,NA
6,Khadijah Anderson,17,Tacius Golding,400 Meter Dash,Track,NA,1:02.78,1:00.60,NA,NA
7,Shawna-Kay Farquharson,17,Merl Grove High,400 Meter Dash,Track,NA,1:00.04,1:05.25,NA,NA
--,Jodian Barrett,17,Hampton School,400 Meter Dash,Track,NA,1:05.24,DNS,NA,NA
1,Sherieka Jackson,17,Vere Technical,400 Meter Dash,Track,NA,53.79,55.88,NA,NA
2,Nicolate Martin,17,Holmwood Technical,400 Meter Dash,Track,NA,57.50,55.96,NA,NA
3,Daniella Kerr,17,Herbert Morrison,400 Meter Dash,Track,NA,56.66,58.99,NA,NA
4,Shavel Silvera,17,Bog Walk,400 Meter Dash,Track,NA,1:00.90,59.34,NA,NA
5,Nastacia Haughton,17,Guy's Hill High,400 Meter Dash,Track,NA,59.70,1:02.43,NA,NA
6,Julesa Morgan,16,Porus High,400 Meter Dash,Track,NA,1:02.87,1:02.70,NA,NA
8,Shansilia Ellis,16,St. Hugh's High,400 Meter Dash,Track,NA,1:01.93,1:04.79,NA,NA
1,Olivia James,17,Vere Technical,400 Meter Dash,Track,NA,53.99,54.80,NA,NA
2,Camira Haughton,16,Edwin Allen High,400 Meter Dash,Track,NA,56.25,56.44,NA,NA
3,Kimona Shaw,17,William Knibb High,400 Meter Dash,Track,NA,58.04,59.31,NA,NA
4,Vanessa Crooks,17,Immaculate Conce,400 Meter Dash,Track,NA,59.39,1:00.84,NA,NA
